"","BM_Series2_A549_Mock_1","BM_Series2_A549_Mock_2","BM_Series2_A549_Mock_3","BM_Series2_A549_SARS.CoV.2_1","BM_Series2_A549_SARS.CoV.2_2","BM_Series2_A549_SARS.CoV.2_3"
"CAPN2",8201.0971784563,8629.43211936424,8600.24732091364,7504.22803970231,8302.31269838893,8566.6238070592
"MRPL55",612.429726511434,563.73882863722,570.39631297753,522.207906409529,591.441524152167,547.513739081114
"OBSCN-AS1",31.986775524801,31.0056355750471,22.151313125341,18.829612009959,19.0787588436183,15.1246889248926
"WDR26",1067.26607116897,1042.91683297886,970.965891994113,1248.40327626028,1076.04199878007,1116.20204265708
"REL",205.183462512748,193.080548808248,179.056447763173,232.231881456161,217.497850817248,202.670831593561
"PUS10",67.8743773331144,63.4206182216872,49.8404545320172,93.5204063161295,59.525727592089,67.5569438645205
"PEX13",513.348738910221,527.0958047758,540.861228810409,625.143118730638,522.757992315141,545.497113891128
"KIAA1841",486.042954925635,456.628451196148,457.79380459038,549.824670690802,455.600761185604,435.591041036908
"TRIM17",7.80165256702464,7.04673535796524,16.6134848440057,6.27653733665299,9.9209545986815,6.04987556995706
"RFTN2",7.02148731032218,2.8186941431861,3.69188552089016,3.76592240199179,0.763150353744731,3.02493778497853
"DISC1",24.9652882144789,26.7775943602679,23.9972558857861,31.3826866832649,19.0787588436183,25.2078148748211
"CAPN13",2.34049577010739,1.40934707159305,1.84594276044508,0,0,1.00831259499284
"MEMO1",903.431367261453,885.069960960435,852.825555325628,1070.777269633,870.754553622738,835.891141249067
"DPY30",770.023108365332,825.877383953527,686.690706885571,942.735907965279,763.150353744731,687.669189785119
"TYW5",227.028089700417,205.764672452585,173.518619481838,273.65702787807,202.997994096098,207.712394568526
"MAIP1",403.345437715174,383.342403473309,374.726380370352,482.038067454949,442.627205171944,431.557790656937
"KCNF1",212.20494982307,193.080548808248,275.045471306317,170.721815556961,222.839903293461,206.704081973533
"SLC66A3",797.328892349918,823.058689810341,646.079966155779,865.534498724447,790.623766479541,763.292634409582
"ARL5A",372.138827447075,376.295668115344,310.118383754774,476.389183851962,354.8649144913,385.175411287266
"CLHC1",48.3702459155528,63.4206182216872,31.3810269275664,70.2972181705135,54.9468254696206,35.2909408247495
"PRORSD1P",28.8661144979912,22.5495531454888,36.9188552089016,35.1486090852567,24.4208113198314,18.1496267098712
"DUSP19",36.6677670650158,36.6430238614193,36.9188552089016,50.8399524268892,30.5260141497892,32.266003039771
"CFAP36",914.353680855288,940.034496752564,948.814578868772,1163.0423684818,1017.27942154173,984.113092713015
"NUP35",544.55534917832,497.499516272346,468.869461153051,748.790904262701,527.336894437609,511.214485661371
"CCDC138",183.338835325079,183.215119307096,103.372794584925,237.880765059148,174.761431007543,183.512892288697
"FBXO41",364.337174880051,424.213468549508,419.029006621034,392.911237274477,422.785295974581,462.815481101715
"ALMS1P1",3.12066102680986,1.40934707159305,9.22971380222541,0.627653733665299,1.52630070748946,2.01662518998569
"WDCP",471.219815048288,500.318210415532,461.48569011127,579.324396173071,523.521142668886,508.189547876393
"SMC6",1584.5156363627,1500.9546312466,1146.3304542364,2237.58556051679,1585.82643508155,1540.70164514906
"CCDC74A",220.786767646797,252.273125815156,227.050959534745,197.083272370904,235.813459307122,241.995022798282
"H3-3A",5012.56177431333,5643.02567465857,4448.72205267265,5161.19665192975,5197.81705935536,4440.60866834848
"COQ8A",429.871056443058,473.540616055264,446.71814802771,353.996705787229,370.127921566195,362.992534197423
"SLC16A14",17.9438009041567,26.7775943602679,36.9188552089016,36.4039165525873,22.1313602585972,36.2992534197423
"EN1",19.5041314175616,11.2747765727444,33.2269696880115,20.7125732109549,24.4208113198314,18.1496267098712
"SGCB",635.054518955806,606.019240785011,636.850252353553,770.131131207322,647.914650329277,698.76062833004
"SPATA18",108.442970681643,100.063642083106,119.98627942893,86.6162152458112,100.735846694304,100.831259499284
"NOSTRIN",143.550407233253,138.116013016119,136.599764272936,255.455069601777,179.340333130012,189.562767858654
"CFAP221",5.46115679691725,5.63738828637219,5.53782828133525,1.8829612009959,2.28945106123419,0
"SGPP2",33.547106038206,52.1458416489428,42.4566834902369,49.5846449595586,41.2101191022155,40.3325037997137
"INHBB",1027.47764307715,1051.37291540841,965.428063712778,986.67166932185,1094.35760726994,1118.21866784706
"BBS5",90.4991697774858,111.338418655851,103.372794584925,95.4033675171254,99.9726963405598,101.839572094277
"SMARCAD1",584.343777270146,536.961234276952,378.418265891242,851.098462850145,597.546726982124,525.330861991271
"PDLIM5",3474.07588809607,3499.40877876554,3854.32848380933,5439.87490967715,4148.48532295636,4526.31523892287
"NEURL3",28.0859492412887,29.596288503454,20.3053703648959,16.3189970752978,16.7893077823841,11.0914385449213
"RPRD2",704.489226802325,617.294017357755,599.931397144652,642.717423273266,612.046583703274,616.078995540627
"ANKRD23",83.4776824671637,80.3327830808038,49.8404545320172,53.3505673615504,52.6573744083864,75.6234446244632
"CTSS",464.198327737966,445.353674623403,511.326144643288,636.440885936613,583.046870260975,586.837930285835
"MSX1",109.223135938345,112.747765727444,119.98627942893,83.4779465774847,116.762004122944,116.96426101917
"PACRGL",173.196686987947,164.893607376387,164.288905679612,203.987463441222,168.656228177586,155.280139628898
"BNIPL",3.12066102680986,2.8186941431861,7.38377104178033,3.13826866832649,3.81575176872366,5.04156297496422
"TNFAIP8L2",1.56033051340493,0,0,1.2553074673306,0.763150353744731,1.00831259499284
"LYSMD1",98.3008223445105,115.56645987063,114.448451147595,146.243319944015,148.051168626478,129.064012159084
"SCNM1",179.438009041567,214.220754882143,236.28067333697,217.168191848193,222.839903293461,223.845396088411
"TMOD4",3.90082628351232,4.22804121477915,1.84594276044508,1.2553074673306,2.28945106123419,1.00831259499284
"VPS72",677.963608074441,772.322195232991,719.917676573582,665.940611418882,764.676654452221,688.677502380112
