"","BM_Series1_NHBE_Mock_1","BM_Series1_NHBE_Mock_2","BM_Series1_NHBE_Mock_3","BM_Series1_NHBE_SARS.CoV.2_1","BM_Series1_NHBE_SARS.CoV.2_2","BM_Series1_NHBE_SARS.CoV.2_3"
"DICER1",1040.50905543178,1002.59149983985,1162.84728956716,905.772037636153,991.848895938382,968.368845996986
"ZFYVE21",792.598535924552,697.50844221987,701.991713006093,850.426801357342,811.760788285196,694.013147059202
"MTHFD1",1196.64500762143,981.678548309447,1138.25774933756,1241.89310674406,1338.38207278618,1316.53597662869
"ZC3H14",1154.92929520435,1093.62434767807,1285.00177973997,1121.75344750468,1162.38687667057,1117.38437790736
"TELO2",76.280159848378,84.8819797410424,57.9044011858133,97.1916344408391,49.114938450869,61.2774149911803
"PCNX1",1491.03874953626,1402.39792615635,1410.32911381337,1389.03044221699,1383.40409969948,1426.09256706747
"BDKRB1",23.8375499526181,19.6827779109664,23.0031182792957,21.5981409868531,6.82151922928736,32.031376018117
"GSKIP",117.99587226546,100.874236793703,154.676140153885,132.288613544475,132.337473048175,103.521693507827
"VRK1",150.176564701494,121.787188324104,168.160726731403,147.137335472937,174.630892269756,158.299988727216
"PSMC1",4574.42583590742,4025.12808279262,4437.22219497863,3532.64593516217,4300.28572214275,4237.42609120829
"PAPLN",292.009986919572,419.489204227471,310.938702258066,305.0737414393,321.975707622363,252.537225418198
"RPS6KA5",48.8669774028671,87.3423269799132,64.2500889869983,62.0946553372028,62.7579769094437,51.0645124926503
"PPP4R3A",1356.35659230397,1327.35733537079,1495.99589912937,1282.3896210944,1308.36738817732,1257.11545300088
"C14orf93",146.600932208601,94.7233686965256,102.324215794108,89.0923315707692,110.508611514455,90.0592311234014
"PSMB5",2381.37124026655,2016.25456225462,2105.18192804313,2437.89016389105,2448.92540331416,2596.86257167169
"YY1",1539.90572693913,1409.77896787297,1571.35094176844,1406.57893176881,1466.62663429678,1576.96499034121
"ACIN1",4264.53768652338,4432.31555082574,3973.19377451697,4333.12703548741,4541.76750285952,4465.82372890269
"CCNB1IP1",387.360186730044,346.908960680782,368.843103443879,337.47095291958,395.648115298667,457.723721070483
"TRIP11",679.370173649616,811.914588827362,1131.11885056123,742.436096423076,751.731419067467,707.011386602785
"APEX1",2194.2464731385,1844.03025553366,1711.74928436966,1995.12827366056,2057.37019955307,1980.83886187399
"PABPN1",2920.09986919572,3161.54620194897,2560.48502777816,2649.82192232454,2960.53934551071,2763.05434869322
"EFS",89.3908123223179,120.557014704669,104.703848719553,102.591169687552,80.4939269055908,91.4518996459282
"ARHGAP5",884.373103242132,1082.55278510315,1666.53625878622,862.575755662447,866.332942119495,838.850673401991
"CINP",357.563249289272,348.139134300218,318.077601034399,310.473276686014,365.633430689802,372.306718355505
"DHRS2",21.4537949573563,9.84138895548318,17.4506414532588,18.8983733634965,15.0073423044322,30.1744846547479
"SRP54",1709.15233160272,1625.05935127416,1779.17221725725,1413.3283508272,1744.94461885171,1551.43273409488
"CHD8",2673.38122718612,2462.80758610967,2158.32706337806,2522.93284402678,2790.00136477853,2759.80478880733
"PCK2",150.176564701494,172.224306720956,132.466232849737,209.23199081014,156.894942273609,150.872423273739
"PRORP",607.857523791762,551.117781507058,701.198502030945,622.296437183706,783.110407522189,755.754784891224
"DCAF11",783.063515943505,685.206706025516,703.578134956389,689.790627767622,701.252176770741,710.725169329523
"PSMA6",1752.05992151743,1615.21796231868,1617.35717832703,1610.41138733224,2128.31399953766,1964.59106244451
"NFKBIA",1512.49254449362,1759.14827579262,1495.20268815422,3264.01905663818,2900.50997629299,2808.08396425492
"EMC9",46.4832224076053,59.0483337328991,41.2469707077026,72.8937258306293,39.5648115298667,64.5269748770763
"PSME2",1052.42783040809,932.471603532031,906.64014459431,1155.50054279664,1317.91751509832,1277.54125799794
"BRMS1L",261.021171981168,259.566633700869,379.948057095953,236.229667043706,321.975707622363,218.184735195869
"REC8",247.910519507228,301.392536761672,220.512651091179,279.425949017412,244.210388408487,250.680334054829
"TM9SF1",471.983489061839,399.806426316504,406.124019275841,502.156777944335,467.956219129113,485.57709152102
"SEC23A",982.107058047867,939.852645248644,1125.56637373519,1055.60914073245,1096.90029206941,1106.70725256798
"GMPR2",933.240080644999,862.351707224214,907.433355569458,853.126568980699,948.191172870943,975.796411450463
"PNN",4389.68482377463,4324.06027231542,3614.66241375002,3404.40697305272,4116.10470295199,4176.61289905795
"RABGGTA",493.437284019195,541.276392551575,448.95741193384,629.045856242097,590.743565256285,618.809046842753
"NFATC4",395.703329213461,452.703891952226,360.11778271725,480.558636957482,427.027103753389,456.331052547957
"PLTP",526.80985395286,521.593614640609,427.540715604841,658.743300099021,556.635969109849,513.430461971556
"PCIF1",195.467909611469,195.597605490228,171.333570631996,232.180015608671,189.638234574189,201.93693576639
"GSS",810.476698389016,686.436879644952,784.485654421498,754.585050728181,826.768130589628,824.459765335881
"MMP9",91.7745673175798,131.628577279588,89.6328401917384,715.43842018951,455.677484516396,370.914049832978
"TRPC4AP",1412.37483469262,1498.35146847231,1505.51443083115,1529.41835863154,1452.98359583821,1508.26000989655
"PYGB",5704.32570366152,5254.07152860858,5024.99152756339,6611.73090960041,5088.85334504837,5688.1224688404
"ABHD12",370.673901763212,350.599481539088,316.491179084103,384.716886328321,285.139503784212,322.634874385381
"PROCR",486.28601903341,437.941808519002,412.469707077026,522.40503511951,517.071157579982,552.88940344315
"GINS1",113.228362274936,65.1992018300761,71.3889877633315,83.6927963240559,99.5941807475955,125.340167027414
"NINL",71.5126498578544,89.802674218784,72.9754097136277,64.7944229605594,72.308103830446,76.1325458981331
"CD40",88.198934824687,89.802674218784,96.7717389680716,113.390240180979,120.058738435458,107.235476234566
"UQCC1",657.91637869226,592.943684567862,565.559425280615,562.90154946986,703.980784462456,664.302885245296
"ZMYND8",3582.7837578785,3229.20575101792,3197.4334408221,3701.38141162196,4026.0606491254,3723.53140639589
"SGK2",3.57563249289272,4.92069447774159,0,2.69976762335664,0,1.39266852252683
"IFT52",112.036484777305,92.2630214576548,144.364397476959,118.789775427692,117.330130743743,103.98591634867
"MYBL2",135.874034729923,148.851007951683,115.808802371627,161.986057401398,118.6944345896,116.519933051411
"NDRG3",1054.81158540335,1116.99764644734,1074.00766035056,936.819365304755,1013.6777574721,1046.82250609933
"SLA2",5.95938748815453,6.15086809717699,1.58642195029626,5.39953524671328,0,4.64222840842275
"RAB5IF",1289.61145243664,1086.24330596146,1194.57572857308,1249.99240961412,1401.14004969562,1233.44008811793
"NFATC2",9.53501998104725,6.15086809717699,4.75926585088877,2.69976762335664,12.2787346127172,1.8568913633691
"PABPC1L",225.264847052241,328.456356389251,226.065127917216,244.328969913776,251.031907637775,251.144556895671
"STK4",871.262450768192,789.771463677525,935.195739699642,888.223548084335,829.496738281343,899.199642711487
"SALL4",15.4944074692018,19.6827779109664,15.0710085278144,14.8487219284615,16.3716461502897,21.8184735195869
"ADNP",1551.82450191544,1418.39018320901,1623.70286612822,1378.23137172357,1482.99828044707,1465.55150853906
"PFDN4",199.043542104361,310.00375209772,601.253919162281,255.128040407203,300.146846088644,261.821682235043
"CSTF1",361.138881782165,370.282259450055,483.858694840358,382.017118704965,406.562546065527,372.770941196347
"BMP7",25.029427450249,23.3732987692726,15.0710085278144,6.7494190583916,12.2787346127172,8.35601113516095
"RAE1",544.688016417324,503.141010349078,501.309336293617,522.40503511951,570.279007568423,519.465358902506
"TPD52L2",2636.43302475956,2242.60650823073,2105.97513901828,2675.46971474643,2680.85705710993,2659.5326551854
"DNAJC5",1915.34713869287,1845.2604291531,1831.52414161703,2290.75282841811,1795.42386114843,1785.86526872023
"NELFCD",928.472570654476,739.334345280674,848.735743408497,870.675058532517,922.269399799651,930.766795888762
"CTSZ",5328.88429190778,5124.90329856787,4681.53117532425,5132.25825200098,5855.59210642027,5636.59373350691
"PRPF6",1216.90692508115,1297.83316850434,1199.33499442397,1337.73485737322,1377.94688431605,1317.46442231038
"TUBB1",2.38375499526181,1.2301736194354,2.37963292544438,2.69976762335664,4.09291153757242,3.24955988589593
"PRELID3B",616.200666275178,591.713510948426,718.649143484204,666.84260296909,698.523569079026,620.665938206122
"MTG2",246.718642009598,291.551147806189,262.55283277403,326.671882426154,261.946338404635,258.572122349147
