,Xiong_PBMC_N_1,Xiong_PBMC_N_2,Xiong_PBMC_N_3,Xiong_PBMC_COVID_1,Xiong_PBMC_COVID_2,Xiong_PBMC_COVID_3
ADAT3,93.64099171,86.55375229,131.9497648,71.96470457,103.9665376,88.26396629
PPP1CB,3771.651055,3516.716588,4540.186979,7086.95895,4112.150157,3224.892836
EEF1DP4,3.251423323,1.881603311,7.433789569,0,0,1.777126838
SULT1A4,633.3772634,101.6065788,423.7260054,1412.176956,1161.415663,2167.502367
GPSM3,7164.18615,10550.14976,8355.579475,5204.403997,5416.519809,5645.339589
LAT,3356.119154,7326.963292,3794.949575,1607.211735,3406.272086,1415.185339
OLA1P2,3.901707988,0,11.15068435,0,0,1.184751225
NCKIPSD,332.9457483,449.7031913,451.6027163,357.7375894,391.926487,437.7655778
ATF6B,4112.400219,3595.743927,3958.492945,4940.533414,4942.514476,4742.559155
TREX1,568.3487969,406.4263151,620.721429,813.5140517,840.6241754,911.0736924
SEC14L1P1,90.38956838,67.73771918,68.76255351,47.97646971,99.17860491,89.44871752
S1PR3,354.4051422,37.63206621,312.2191619,705.0455114,488.3691304,1701.30276
SLC35F6,429.1878787,286.0037032,522.2237172,978.3027954,645.6869175,701.3727255
AL590762.2,1.950853994,3.763206621,3.716894784,2.085933466,0.683990379,1.184751225
HMGB1P10,1.950853994,18.81603311,16.72602653,0,0,0
PIGCP1,120.302663,50.80328939,150.5342388,111.5974404,112.8584125,154.0176593
FAM209B,31.86394857,26.34244635,24.1598161,25.03120159,22.5716825,23.69502451
CLIC1,9223.637683,4946.735104,6842.803298,19350.1618,11362.44817,14222.34609
DDAH2,601.5133148,406.4263151,496.2054537,1277.634248,500.6809572,730.3991305
RPS2P52,3.901707988,5.644809932,18.58447392,0,2.051971136,0
RAB5CP1,1.300569329,3.763206621,3.716894784,0,2.735961515,1.777126838
SERBP1P1,0.650284665,3.763206621,7.433789569,5.214833664,3.419951893,4.739004902
RPS29,5780.380384,15468.66082,6140.310184,3444.919119,5515.698414,4075.544215
ZNF337-AS1,63.07761247,71.50092581,79.91323786,40.67570258,69.76701862,59.23756127
RPS10P14,5.202277317,1.881603311,7.433789569,1.042966733,2.735961515,1.777126838
CENPBD1P1,1143.20044,733.8252912,1087.191724,952.2286271,964.4264339,766.5340428
AL356317.1,7.803415976,15.05282649,5.575342177,4.171866932,2.051971136,0.592375613
AC020898.1,4.551992652,58.32970263,35.31050045,4.171866932,2.735961515,5.923756127
UGT2B11,55.27419649,1.881603311,48.3196322,2.085933466,0,0.592375613
ATP6V1G2,50.72220384,80.90894236,40.88584263,19.81636792,51.98326878,39.68916605
ZNF134,465.6038199,500.5064806,399.5661893,367.12429,509.5728321,431.2494461
AC011487.1,0.650284665,15.05282649,0,3.128900199,5.471923029,2.961878064
AC107956.2,10.40455463,5.644809932,13.00913175,4.171866932,1.367980757,3.554253676
GTF2H4,274.4201285,363.149439,302.9269249,340.0071549,383.0346121,462.6453535
DDX47,2274.695757,2169.488617,1834.287576,1571.750866,2456.20945,2294.863124
OLA1P1,3.901707988,0,0,5.214833664,7.523894165,3.554253676
ZNF888,212.6430853,124.1858185,156.1095809,254.4838828,204.5131232,290.2640502
ZNF845,204.1893847,143.0018516,131.9497648,200.2496127,169.6296139,162.3109179
ZNF321P,146.9643342,186.2787278,133.8082122,152.273143,132.0101431,174.1584301
KLRK1,4570.200623,7257.343969,4190.798869,1647.887438,4101.890301,2366.540573
CFL1P5,5.202277317,0,7.433789569,7.30076713,3.419951893,7.700882965
TMX2P1,120.302663,63.97451256,94.780817,136.628642,86.18278771,85.89446384
SUGT1P2,5.852561982,9.408016553,11.15068435,6.257800397,2.051971136,6.51613174
AL080243.2,0,3.763206621,0,3.128900199,0,2.369502451
KCTD11,159.9700275,199.4499509,193.2785288,229.4526812,183.3094215,248.7977573
RPL21P75,20.80910927,84.67214898,59.47031655,34.41790219,0,21.91789767
AC044787.1,4.551992652,31.98725628,14.86757914,6.257800397,7.523894165,7.108507353
YBX1P10,2.601138659,52.6848927,35.31050045,23.98823486,12.31182682,11.84751225
TAF9BP1,2.601138659,1.881603311,1.858447392,3.128900199,3.419951893,7.700882965
AC092798.1,23.41024793,9.408016553,22.30136871,36.50383565,18.46774022,23.69502451
RPL7AP64,31.2136639,0,76.19634308,94.90997269,75.92293203,137.4311421
NPM1P6,1.950853994,9.408016553,1.858447392,3.128900199,4.787932651,3.554253676
RPL13AP7,2.601138659,47.04008277,33.45205306,1.042966733,4.103942272,3.554253676
LINC01521,18.20797061,30.10565297,26.01826349,16.68746773,19.1517306,23.1026489
PPM1N,132.6580716,270.9508767,169.1187127,33.37493545,111.4904317,74.6393272
RPL3P6,11.0548393,15.05282649,31.59360567,8.343733863,10.94384606,14.21701471
SLC23A3,27.96224058,18.81603311,13.00913175,15.64450099,24.62365363,13.62463909
LTB4R,2664.866556,1610.652434,2399.255583,3768.238806,2647.726756,3968.916605
LIPE-AS1,34.46508723,24.46084304,22.30136871,16.68746773,49.93129764,22.51027328
LTB4R2,914.9505231,590.8234396,986.8355653,867.7483218,927.4909535,1118.997532
DNASE1,2307.20999,2553.335693,2178.100344,1446.594859,1703.136043,1607.115037
MDP1,111.1986777,120.4226119,113.3652909,94.90997269,115.594374,106.6276103
CSNK1E,2358.582479,2577.796536,2215.269292,1870.039352,1913.121089,1852.358541
NPM1P33,4.551992652,5.644809932,5.575342177,1.042966733,3.419951893,0.592375613
IRF9,3402.93965,2325.661692,2553.506717,4148.921663,3612.83718,1870.129809
GALT,1868.918126,1817.628798,1378.967965,1048.181567,1763.327196,1271.83044
HBE1,3.251423323,0,0,21.90230139,4.787932651,5.331380514
HBG1,0,80.90894236,0,13.55856753,125.8542297,0
CLDN9,88.43871439,11.28961986,40.88584263,105.33964,18.46774022,53.31380514
ITGA1,119.0020936,161.8178847,96.63926439,495.4091981,725.0298014,248.7977573
AC019080.1,66.32903579,56.44809932,76.19634308,66.7498709,84.81480696,104.2581078
NUDT19,217.195078,286.0037032,295.4931354,449.5186619,340.6272086,373.7890116
ZNF726,54.62391183,86.55375229,63.18721133,27.11713506,57.45519181,47.39004902
AC006122.1,12.35540863,1.881603311,16.72602653,5.214833664,2.735961515,3.554253676
AC010615.1,15.60683195,28.22404966,20.44292131,12.51560079,10.25985568,21.32552206
TAX1BP3,761.4833423,344.3334059,815.8584052,1523.774397,732.5536956,1140.323054
AP1G2,6167.299759,5746.416511,5168.342198,3965.359518,5794.766488,5144.189821
AC078899.1,7.803415976,7.526413243,5.575342177,8.343733863,7.523894165,4.146629289
ZNF90,81.93586774,129.8306284,89.20547483,41.71866932,103.9665376,75.82407843
NAXD,760.182773,603.9946627,750.8127464,521.4833664,799.5847527,620.8096421
PGAM1P7,7.153131311,0,1.858447392,9.386700596,5.471923029,8.885634191
MEF2B,117.0512396,103.4881821,191.4200814,106.3826068,74.55495128,82.34021017
GANC,937.0602017,549.4281667,981.2602231,1708.379508,1208.610999,1831.033019
RRM2P3,49.42163451,28.22404966,33.45205306,37.54680238,22.5716825,21.32552206
TTLL3,3566.811386,2622.955015,3120.333172,2417.596887,2553.336084,2963.062815
REPIN1,2686.32595,3194.962422,3400.958728,1964.949325,3321.457279,3326.189065
MRPL23,200.2876767,540.0201502,243.4566084,1078.427602,439.8058135,435.3960753
ZNF891,559.8950962,562.5993899,466.4702954,387.9836246,539.6684088,450.2054657
SMIM7,1369.499504,1704.732599,1772.958812,1899.242421,1686.036283,1999.860069
UCA1,3.901707988,3.763206621,0,3.128900199,4.787932651,3.554253676
FBXO16,1.300569329,0,0,2.085933466,2.051971136,7.108507353
RPL7P17,0.650284665,0,3.716894784,0,2.051971136,1.184751225
TSPAN4,425.9364553,272.8324801,449.7442689,590.3191708,608.0674466,853.0208823
AL360182.1,0.650284665,3.763206621,3.716894784,2.085933466,0.683990379,4.146629289
AC011999.1,1.950853994,0,3.716894784,1.042966733,2.051971136,0.592375613
CPSF1P1,13.65597796,0,31.59360567,0,9.575865301,26.06452696
GNAQP1,0.650284665,0,3.716894784,3.128900199,0.683990379,2.369502451
CPNE1,3473.820678,4491.387103,3685.301179,3631.610164,3820.770255,3602.236101
ARL16,490.9649218,741.3517044,563.1095598,449.5186619,587.5477353,584.0823541
AL096701.1,8.45370064,15.05282649,14.86757914,3.128900199,7.523894165,5.923756127
WEE2,3.251423323,0,7.433789569,0,3.419951893,1.184751225
PAXIP1-AS2,511.7740311,605.876266,505.4976907,387.9836246,556.7681682,463.2377291
LDHAP4,11.70512396,7.526413243,13.00913175,33.37493545,1.367980757,35.54253676
LYRM4,355.7057116,496.743274,330.8036358,419.2726266,480.1612458,466.1996072
MYCBP,606.0653074,383.8470754,542.6666385,983.5176291,694.2502344,783.12056
PRDX1P1,0,0,0,1.042966733,0,5.331380514
SNRPEP9,3.251423323,0,0,0,1.367980757,0.592375613
AC132008.2,497.4677684,538.1385469,375.4063732,382.768791,418.6021117,443.0969583
PRCD,26.66167125,11.28961986,26.01826349,30.24603525,20.51971136,74.6393272
LINC00887,0,0,0,1.042966733,2.051971136,8.293258578
LINC02026,0,0,0,1.042966733,0.683990379,4.146629289
ALG3,337.4977409,462.8744144,496.2054537,445.3467949,585.4957641,642.7275398
AMZ2P1,224.3482093,225.7923973,195.1369762,148.1012761,141.5860084,262.4223964
PLEKHM1P1,5343.389089,2449.847511,4239.118502,4980.16615,4551.27198,4968.254264
PTMAP5,55.27419649,67.73771918,52.03652698,134.5427085,87.55076847,78.78595649
GCC2-AS1,1.950853994,3.763206621,0,3.128900199,3.419951893,1.777126838
XPOTP1,1.950853994,0,0,0,3.419951893,1.184751225
ST7-OT4,1.950853994,1.881603311,13.00913175,1.042966733,1.367980757,1.184751225
ZNF788P,3.901707988,9.408016553,11.15068435,15.64450099,6.839903787,2.961878064
RNF152P1,1.950853994,0,0,2.085933466,1.367980757,0
UBE2V1P2,1.300569329,3.763206621,0,4.171866932,0.683990379,0
SH3D21,119.0020936,80.90894236,85.48858004,74.05063804,80.0268743,62.19943933
SMIM30,124.2043709,197.5683476,196.9954236,278.4721177,249.6564882,251.7596354
TTC41P,20.1588246,22.57923973,11.15068435,11.47263406,14.36379795,28.43402941
EEF1A1P12,3.901707988,161.8178847,78.05479047,1.042966733,4.787932651,2.369502451
RPS4XP1,11.70512396,9.408016553,3.716894784,11.47263406,4.787932651,5.923756127
C19orf38,1872.819834,338.6885959,1581.538731,4824.764106,2601.8994,3923.896059
HNRNPA1P10,118.351809,186.2787278,122.6575279,147.0583093,172.3655754,150.4634056
C17orf67,72.18159777,114.777802,70.6210009,36.50383565,58.82317257,46.20529779
AC004980.2,6.502846646,0,5.575342177,6.257800397,3.419951893,3.554253676
AC010336.1,1.950853994,20.69763642,5.575342177,3.128900199,1.367980757,2.961878064
FIS1,1191.321506,2203.357477,1109.493093,9470.137935,2010.931713,1344.692641
ANKRD36BP1,0,0,26.01826349,0,0,0
KCTD9P4,0,0,0,1.042966733,1.367980757,2.369502451
AC124312.1,17.55768595,22.57923973,20.44292131,0,5.471923029,2.369502451
AGGF1P1,2.601138659,1.881603311,9.292236961,2.085933466,7.523894165,4.739004902
ANG,70.23074378,15.05282649,65.04565873,683.14321,101.230576,558.6102028
SCART1,287.4258218,485.4536542,288.0593458,91.78107249,305.0597089,181.8593131
RAD51AP1P1,0.650284665,1.881603311,7.433789569,0,2.051971136,0.592375613
COLCA2,1.950853994,3.763206621,0,0,2.051971136,5.923756127
APTR,116.400955,116.6594053,92.92236961,110.5544737,67.03105711,104.8504835
SPDYE3,112.499247,150.5282649,144.9588966,84.48030536,142.9539891,118.4751225
AC022296.2,0,1.881603311,0,1.042966733,2.735961515,0
MBLAC1,14.95654729,45.15847946,14.86757914,31.28900199,23.25567287,23.1026489
CBX1P2,1.300569329,0,0,3.128900199,0,0.592375613
AC009053.2,551.4413956,344.3334059,486.9132168,553.8153352,544.4563414,424.1409387
SOGA3,47.47078052,48.92168608,68.76255351,13.55856753,21.88769212,6.51613174
OR1X5P,0,16.9344298,0,2.085933466,5.471923029,1.777126838
VAC14-AS1,19.50853994,88.4353556,42.74429002,32.33196872,21.20370174,37.91203921
NEURL1B,31.2136639,22.57923973,40.88584263,45.89053625,25.30764401,31.98828309
RPL18P10,1.300569329,1.881603311,3.716894784,1.042966733,1.367980757,3.554253676
HAUS3,1791.534251,2231.581526,1648.442837,813.5140517,1823.51835,940.1000974
VSTM5,3.901707988,5.644809932,0,0,3.419951893,1.777126838
RPS3AP26,90.38956838,611.521076,219.2967923,69.8787711,132.6941335,90.04109313
TUBAP2,1.300569329,1.881603311,1.858447392,1.042966733,2.735961515,0
KANSL1-AS1,48.12106518,60.21130594,31.59360567,78.22250497,39.67144196,33.76540992
LCNL1,193.1345454,176.8707112,187.7031866,16.68746773,60.8751437,39.68916605
BBIP1,1500.206721,1179.765276,1172.680304,1067.997934,1069.076962,1043.76583
LRRC37A4P,3886.101156,2005.789129,3464.145939,2857.728848,3365.916653,3205.936816
VPS33B-DT,1.300569329,1.881603311,0,0,2.051971136,1.184751225
AS3MT,1.950853994,0,39.02739524,0,10.25985568,5.331380514
FAM185BP,53.3233425,45.15847946,31.59360567,16.68746773,32.83153818,32.5806587
FAM187A,7.803415976,0,35.31050045,23.98823486,6.155913408,22.51027328
RCN1P2,23.41024793,39.51366952,5.575342177,7.30076713,12.99581719,12.43988787
PLIN5,405.1273461,79.02733905,85.48858004,302.4603525,65.66307635,31.98828309
SMARCE1P6,3.901707988,11.28961986,11.15068435,1.042966733,0.683990379,4.146629289
RPL7P1,80.63529841,218.265984,131.9497648,139.7575422,133.3781238,110.7742396
PPME1,362.2085582,383.8470754,382.8401628,877.1350224,530.0925435,416.4400557
STARD10,275.7206978,250.2532403,226.7305818,134.5427085,197.6732194,161.1261667
ZNF705E,23.41024793,24.46084304,20.44292131,6.257800397,23.25567287,19.54839522
RPS15AP1,15.60683195,16.9344298,11.15068435,5.214833664,3.419951893,5.331380514
GTF2IRD2P1,9.754269969,20.69763642,3.716894784,9.386700596,22.5716825,8.885634191
AC087491.1,0,1.881603311,3.716894784,0,4.103942272,0.592375613
MEG3,49.42163451,35.7504629,57.61186916,14.60153426,4.787932651,19.54839522
COPS8P2,1.300569329,0,1.858447392,0,0.683990379,1.184751225
AL365217.1,20.1588246,9.408016553,5.575342177,18.77340119,24.62365363,20.14077083
NUTM2D,202.2385307,169.344298,230.4474766,251.3549826,197.6732194,248.7977573
CPEB1,5.202277317,7.526413243,5.575342177,5.214833664,13.67980757,5.923756127
EML6,208.0910927,109.132992,193.2785288,160.6168769,88.23475885,314.5514504
POLR3DP1,0,5.644809932,5.575342177,3.128900199,1.367980757,2.961878064
NDUFB5P2,2.601138659,1.881603311,11.15068435,13.55856753,3.419951893,5.331380514
RPSAP6,3.901707988,1.881603311,0,0,0,2.369502451
AC073592.1,11.70512396,20.69763642,16.72602653,31.28900199,16.41576909,24.87977573
AL513122.1,0.650284665,0,9.292236961,0,2.051971136,0
ZNF727,12.35540863,33.86885959,22.30136871,13.55856753,32.83153818,87.67159068
B3GNT10,37.71651055,58.32970263,59.47031655,34.41790219,34.88350931,42.65104412
ZSWIM8,4605.315995,2837.457793,3926.89934,4432.608615,4060.850878,4247.333143
KRT8P26,18.85825527,0,5.575342177,16.68746773,4.103942272,2.369502451
C10orf105,544.2882643,131.7122317,189.561634,307.6751862,205.1971136,197.8534546
ARHGEF33,11.0548393,3.763206621,3.716894784,7.30076713,9.575865301,10.07038542
C12orf71,5.202277317,3.763206621,5.575342177,2.085933466,9.575865301,5.331380514
IFRD2,405.7776307,844.8398865,505.4976907,661.2409087,628.587158,428.8799436
AC116407.1,1.950853994,0,0,5.214833664,0.683990379,2.961878064
CAPN14,24.71081726,22.57923973,16.72602653,11.47263406,11.62783644,32.5806587
ZBED1,1468.342773,1390.504847,1772.958812,1994.152393,1789.318831,1782.458219
AC005562.1,202.8888154,105.3697854,139.3835544,253.4409161,138.8500469,300.9268113
RPL5P35,0,3.763206621,5.575342177,3.128900199,0.683990379,1.184751225
TOMM6,1086.625675,1292.661474,1128.077567,1837.707383,1811.890513,1689.455247
HNRNPUL2,4844.620752,5516.860907,5811.364995,6669.772257,5027.329283,5424.975861
CSKMT,98.84326902,103.4881821,133.8082122,95.95293943,130.6421623,128.545508
RPL21P1,0.650284665,0,5.575342177,1.042966733,0.683990379,0.592375613
HNRNPA1P15,1.300569329,1.881603311,9.292236961,0,0.683990379,0.592375613
SEPTIN7P2,466.9043892,619.0474892,433.0182424,400.4992254,439.8058135,413.4781777
AL161756.1,7.803415976,1.881603311,13.00913175,3.128900199,6.155913408,4.739004902
AC112512.1,16.90740128,31.98725628,29.73515828,25.03120159,20.51971136,14.80939032
AC092821.2,74.13245177,124.1858185,61.32876394,74.05063804,62.24312446,73.45457598
