"","PPEE","PPDE"
"ZNF263",0.938227792120178,0.0617722078798221
"CX3CL1",0.999999999999986,1.34994608648707e-14
"SPATA20",0.978513207215335,0.0214867927846646
"TNFRSF12A",0.565355671342212,0.434644328657788
"MAP3K9",0.0639970400947073,0.936002959905293
"RALA",3.13362663006966e-05,0.999968663733699
"BAIAP2L1",0.966893003205473,0.033106996794527
"KDM7A",0.978206028714163,0.0217939712858368
"ETV1",0.999999999999999,1.49644545784392e-15
"AGK",0.535367738431303,0.464632261568697
"ALDH3B1",0.00140117589995015,0.99859882410005
"TTC22",1.08218563443785e-07,0.999999891781437
"PHTF2",0.0757803571740781,0.924219642825922
"FARP2",0.935079091273121,0.0649209087268785
"GGCT",5.32907051820075e-15,0.999999999999995
"DBF4",NA,NA
"TBXA2R",0.914209352567382,0.0857906474326183
"IFRD1",0.978476910554357,0.0215230894456431
"COX10",NA,NA
"GTF2IRD1",0.820473182629155,0.179526817370845
"PAF1",0.977947461466205,0.0220525385337952
"VPS41",0.764235253681329,0.235764746318671
"ARHGAP44",0.895162172157879,0.104837827842121
"ELAC2",NA,NA
"SCIN",0.917249521419681,0.0827504785803188
"ARSD",0.642301128489765,0.357698871510235
"PNPLA4",0.0042925259098866,0.995707474090113
"ADIPOR2",0.965255420337063,0.0347445796629372
"CDKL3",0.891466656491982,0.108533343508018
"PRSS21",0.317827760244279,0.682172239755721
"MARK4",0.979458260380639,0.0205417396193609
"PROM1",0.959486299413077,0.0405137005869229
"CCDC124",0.946281860246256,0.0537181397537437
"CEACAM21",0.958463547744387,0.0415364522556127
"PAFAH1B1",0.989269027398678,0.0107309726013216
"NOS2",0.895313132909354,0.104686867090646
"DNAH9",0.999999999999999,1.49645367005146e-15
"KIAA0100",0.00114955059193489,0.998850449408065
"AC005747.1",0.636979445482123,0.363020554517877
"TRAPPC6A",0.801241612335384,0.198758387664616
"MATK",1.3639311902125e-11,0.999999999986361
"CD79B",0.973305386191068,0.0266946138089324
"SCN4A",1,4.96191469170831e-16
"ST7L",0.969991769980053,0.0300082300199467
"TKTL1",4.33574347047383e-06,0.99999566425653
"PAX6",0.999999999999995,5.4333055854874e-15
"RPUSD1",0.831847338178144,0.168152661821856
"RHBDF1",0.999999999999983,1.65674633453695e-14
"LUC7L",5.84646727226357e-05,0.999941535327277
"CACNA2D2",2.7011183290071e-09,0.999999997298882
"BAIAP3",0.878909790723837,0.121090209276163
"TSR3",0.971289085901227,0.0287109140987733
"PIGQ",0.92912230155908,0.07087769844092
"CRAMP1",0.983583330285899,0.0164166697141012
"TEAD3",0.999999999999999,1.07857210272721e-15
"SELE",0.999999999999998,1.60157838695549e-15
"DNAJC11",0.578983915575922,0.421016084424079
"MYLIP",0.949933267750618,0.0500667322493824
"E2F2",0.399072927923492,0.600927072076508
"PSMB1",2.22044604925031e-15,0.999999999999998
"SYN1",0.999999999999998,1.55155328037644e-15
"JARID2",0.960173153214664,0.0398268467853362
"CDKL5",0.965007353326971,0.0349926466730288
"CDK11A",0.885464152151461,0.114535847848539
"NADK",0.956574941654176,0.0434250583458236
"DLEC1",0.00870795820081338,0.991292041799187
"CYTH3",0.783030840474074,0.216969159525926
"ADAM22",1.06336832594867e-06,0.999998936631674
"SYPL1",NA,NA
"CYB561",0.869244164933754,0.130755835066246
"SPAG9",0.986131102035004,0.0138688979649962
"CELSR3",0.704618805253211,0.295381194746789
"AASS",0.771670347458578,0.228329652541422
"PLEKHG6",0.871833167473859,0.128166832526141
"SS18L2",0.555228937311156,0.444771062688844
"MPND",6.51397491135963e-06,0.999993486025089
"MGST1",9.41469124882133e-14,0.999999999999906
"CRY1",0,1
"PGLYRP1",0.0169666650920419,0.983033334907958
"NFIX",0.972728662021751,0.0272713379782495
"ST3GAL1",0.989468970151467,0.0105310298485335
"MMP25",0.966416632046385,0.0335833679536155
"IL32",0.828912854136449,0.171087145863551
"PKD1",0.731270087059315,0.268729912940685
"MAPK8IP2",0.999999999999999,8.54965654797756e-16
"MED24",NA,NA
"RHOBTB2",0.122793366951443,0.877206633048557
"HEATR5B",0.985770060482585,0.014229939517415
"SEC62",0.986112025186281,0.0138879748137186
"RPS20",0.989540474411629,0.0104595255883715
